grid_km,fold,bin,mean_pred,frac_pos
20.0,1,0,0.032792727272727196,0.025454545454545455
20.0,1,1,0.1534045801526717,0.183206106870229
20.0,1,2,0.24839175257731969,0.26804123711340205
20.0,1,3,0.3413448275862068,0.29310344827586204
20.0,1,4,0.4463870967741935,0.2903225806451613
20.0,1,5,0.5225714285714286,0.42857142857142855
20.0,1,6,0.634,1.0
20.0,1,7,0.71,1.0
20.0,2,0,0.03917766497461925,0.03553299492385787
20.0,2,1,0.15061635220125796,0.22012578616352202
20.0,2,2,0.24931851851851847,0.2740740740740741
20.0,2,3,0.3427142857142857,0.2857142857142857
20.0,2,4,0.43700000000000006,0.6
20.0,2,5,0.532,0.25
20.0,2,6,0.6546666666666666,0.3333333333333333
20.0,3,0,0.04073809523809519,0.07539682539682539
20.0,3,1,0.14768098159509196,0.18404907975460122
20.0,3,2,0.2445046728971963,0.3177570093457944
20.0,3,3,0.34212499999999996,0.3333333333333333
20.0,3,4,0.4440909090909091,0.4090909090909091
20.0,3,5,0.5433333333333334,0.3333333333333333
20.0,3,6,0.6386666666666666,1.0
20.0,3,7,0.704,1.0
20.0,4,0,0.040957345971563926,0.09004739336492891
20.0,4,1,0.15030985915492956,0.2112676056338028
20.0,4,2,0.24737500000000018,0.15625
20.0,4,3,0.3493731343283582,0.2835820895522388
20.0,4,4,0.43929729729729744,0.40540540540540543
20.0,4,5,0.5388000000000001,0.4
20.0,4,6,0.636,1.0
20.0,5,0,0.033509259259259204,0.06018518518518518
20.0,5,1,0.15284210526315797,0.1513157894736842
20.0,5,2,0.24410434782608711,0.20869565217391303
20.0,5,3,0.34670270270270265,0.20270270270270271
20.0,5,4,0.4493333333333334,0.26666666666666666
20.0,5,5,0.5514545454545454,0.45454545454545453
20.0,5,6,0.62,0.3333333333333333
